"","cdc28_13_37_2h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep3_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep3_Aligned.sortedByCoord.out.bam","WT_37_2h_rep1_Aligned.sortedByCoord.out.bam","WT_37_2h_rep2_Aligned.sortedByCoord.out.bam","WT_37_2h_rep3_Aligned.sortedByCoord.out.bam","WT_37_8h_rep1_Aligned.sortedByCoord.out.bam","WT_37_8h_rep2_Aligned.sortedByCoord.out.bam","WT_37_8h_rep3_Aligned.sortedByCoord.out.bam"
"YPR037C",6,2.5,5.83,1.83,2.08,1,2,5,3.83,6.5,5,4.5
"YPR184W",29,34,43,219,151,181,45,28,27,21,26,40.33
"YPL135W",10.5,6.5,10.5,31.5,22.5,28.5,10,8,8,15,8,14
"YPL215W",9,5,4,7,4,2,7,7,6,6,11,13
"YPL112C",13,17,8,8,4,6,6,13,11,17,10,12
"tK(UUU)P",1.9,4.15,2.76,3.5,2.17,1.71,2.74,3.57,1.29,3.71,4.36,2.6
"YPR146C",4,4,0,2.5,0,0,2,3,0.5,1.5,2.5,2
"YPR087W",4,2,5,1,1.5,0,0,5.5,2,1.5,4.5,3.5
"tW(CCA)P",1,2.33,4.33,2.33,2.67,2.17,3.67,3.5,3.33,3.5,4,4.83
"YPL154C",87,86,86,71,48,42,68,75,68,65,80,69
"YPL136W",3,2.83,4,2,1,1,2,2.5,2.5,2.33,2.5,2.5
"YPR094W",3,3,0,0,1,1,5,4,0,0,0,3
"YPR074C",271,258.5,274.1,58,52,46,238,253,221,222.33,257,297
"YPL056C",2,1,2,2,1,1,3,3,0,4,2,2
"YPL189C-A",3,0,1,8,0,5,1,2,3,1,4,0
"YPR082C",0,7,3,2,1,3,4,2,4,4,4,4
"YPR133C",23,21,19,10,10,7,11,17,12,17.07,25,20
"YPL047W",3,8,2,3,3,2,4,1,6,1,5,4
"YPL077C",4,0,1,1,2,2,2,0,1,1,5,1
"YPR016W-A",4.5,2,0,1,1,2,2,2,1,1,4.5,2.5
"YPL272C",3,1,4,14,17,11,3,1,5,2,2,1
"YPR050C",1.5,4,1.5,0,0,0,2,1,1.5,0.5,1,1
"YPR108W-A",1,0.17,0,0.17,0.17,0.33,0.17,0,0.17,0.33,1.17,2.92
"YPR070W",13,7,12,9,3,3,13,15,6,10,8,13
"YPL176C",23.86,23.5,34.24,23.75,12.96,15.57,27.07,32.29,18.29,20.82,20.75,29.45
"YPL220W",160,158,166.5,15,11,12.5,164,191.5,145.83,186,205,181
"YPL065W",1,5,7,1,2,1,3,5,0,2,5,6
"YPL074W",6.5,8.5,8,9.25,2,4,10.5,12,13,18.5,11,18
"YPL032C",48,22,33.25,19,14.67,17,65,49,45,45,66,57
"YPL167C",6.5,7,8,10,6,4,11,15,14,4.25,12,10
"tN(GUU)P",1.6,1.8,2.5,0.4,0.1,0,2.57,0.4,2.1,3.5,0.4,0.4
"YPR185W",15,22,11,5.07,6,6,18,15,11,15.17,17,17
"YPR160C-A",6.5,6,7.5,39,32,37.5,1.5,1.5,4.5,0.5,4.5,3
"YPL038W",3,1,1,2,2,0,2,6,3,5,2,8
"YPR145W",110,142.74,136.17,20.17,17,13.33,145.5,155.67,129.58,113.08,157.25,144.38
"YPL165C",1,2,2,7,3,2,3,3,5,1,0.5,1
"YPL193W",11,9,16,6,4,2,6,8,12,11,13,10
"YPL003W",11,8,7,2,8,7,4,6,3,2,8,3
"YPL178W",6,13,12,3,4,1,8,9,7,12,13,13
"YPL013C",6,7,9,1,0,4,4,8,3,9,5,5
"YPR012W",0,1,1,0,1,0,1,0,0,1,0,1
"YPR042C",12.5,21,8,16,7,19,17,26,17,15,18,19
"YPL103C",8,7,6,3,6,0,4,4,6,9,10,12
"YPR028W",35,30,38,14,14,12,33,32,30,32,38,47
"YPR039W",0,1,0.33,0.83,0,0,0,0.5,0.33,0,1,2
"YPR089W",21,20,23,14,10,7,29,31,26,17,29,37
"YPL075W",17,24,18,39,29,30,26,31.5,18,36.5,29,28.5
"YPR196W",4,4,2,2,1,1.5,2,3,0,2,2,7
"YPR077C",1.5,0,0,1.5,0,1,0,0,0,0,1,0
"YPL024W",5,10,4,3,1,2,8,5,5,3,7,5
"YPR008W",22,22,33,18,8,12,28,31,29.25,36,48,46
"YPR071W",5,6,6,0,0,2,3,4,6,5,3,4
"YPL182C",4,0.5,1.5,1,3,1,3,0.5,2.5,1.5,3.5,2.5
"tC(GCA)P2",0.25,0,0.25,0,0.25,0,0.25,1,0,0,0.25,0
"YPR062W",25.5,25,24,21,11,18,22,20,16,22,27,25
"YPL277C",1.5,4,4.5,12,9,3.5,2.5,1.5,0.5,4,2,2
"YPR125W",13,18.5,24.5,2,1,2.5,17,28,12,21.5,26.5,29
"YPR131C",8,7,12,9,2,1,5,6,4,7,10,8
"YPL221W",52,60,61,26,19,17,58,76,52,47,54,51
"YPR073C",17,17,12,4,1,4,8,9,13,12,14,16
"YPL262W",45,66,57,58,49,42,41.33,62,40,30,44.25,55.33
"snR45",95,123,98,100,57,85,74,111,75,113,115,107
"YPR036W",78,54,71,9,7,9,62,84,62,62,79.75,82
"YPL031C",7,13,8,5,1,4,11,13,12,7,13,15
"YPL237W",34.5,31,37,6.5,4,9.5,35.5,39.5,34.5,31.5,40.5,49
"YPL053C",18,18,17,21,13,14,10,21,18,27.5,16.5,17
"YPR109W",5,4,7,4,2,0,8.17,3,4,3.5,2,7
"YPR159C-A",0,0,0,0,0,0,0,0,0,0,0,0
"YPL122C",9,19,15,2,5,0,8,16,6,15,11,14
"YPL085W",141,104,137,41,23,24,107,152,100.25,105,145,146.75
"YPR104C",23,9,12,3.67,7,2,14,16,18,19,19,23
"YPR186C",6,6,12,2,0,4,8,8,4,5,12,5
"YPR201W",3,0,4,2,1,1,1,2,0,1,2,0
"YPL138C",4,2,5,5.5,1,2,6,6,6,3,5,1
"YPR030W",6,10,14,74,46,47,8,7,6,5,12,6
"YPR190C",32,28,28,24,15,15,25,39,33,26,37,47
"YPL043W",52,33.5,48,5.5,14,6,54,36.5,39.5,46.5,53.5,77.5
"YPL108W",3,2,1,0,0,1,3,2,2,2,5,4
"YPL105C",42,51,40,16,11,8,46,56,44,47,59,53
"YPL168W",11,3,2,5,1,4,3,7,2,5,10,4
"YPR018W",11,12,11,6,6,6,16,27,7,10,20,21.75
"YPR132W",118.5,117.92,123.5,14,8,7,117.5,146.5,105.5,153.5,150,164
"YPL222C-A",0,1,0.5,0,0,0,0,0,1.5,0,0.5,0
"YPR137W",22,21,28.5,4,8.5,4.5,27,50,32,36.5,36,49
"YPL219W",4,4,2,0,4,6,4,5,2,5,6,6
"tS(UGA)P",3.83,3.25,3.92,4,2.08,1.25,2,2.96,1.33,3.33,7.17,7.03
"YPL029W",14,16,14,3,2,2,9,12,12,14,25,11
"YPL113C",0,2.5,5,0.5,1,0,5,0,3,2,0,4.5
"YPL190C",45,38.5,50.75,14,17,5,53.25,48,43,43,60,60.5
"YPL241C",1,1,1,0,1,1,3,1,3,2,0,2
"YPL281C",4.28,2.17,4.17,51.83,47.33,35.6,0.83,1.77,0.5,0.75,2.17,0.92
"YPL023C",15.5,15,22.75,23,16,14,26,25,22,25.25,27,30
"YPR043W",48.33,49.5,54.5,6,2.5,1.5,54.08,57.58,38,43.75,60,56.83
"YPR116W",2,4,1,1,0,2,4,2,5,2,6,1
"YPL252C",5.5,3,5,1.5,1,2,5,0.5,3,5,7,4.5
"YPR047W",10.5,10.08,9.83,10,4.33,2.33,7.5,8,11.78,10.25,10.59,13.5
"YPL119C-A",1,0,2,0,1,2,1,1,0,0,1,2
"YPL194W",7,5.5,5,5,0,3,4,5,3,2,6,5
"YPL157W",9,6,7,1,4,5,5,9,11,7,18,4
"YPL177C",19,15,23,19,18,15,18,16,10,19,24,29
"YPR165W",52,54,52,11,5,20,55,61,53,65,71,71
"YPL037C",99,109,99,13,7,8,86,87,73,85,98,113
"YPR093C",1,3,3,5,5,9,2,1,3,4,2,6
"tG(GCC)P1",0,0,1,0,0,0,0,0,0,2,0,0
"YPR066W",2,2,2,1,0,0,3,4,1,3,6,3
"YPL247C",8,5,12.25,39,33,32,6,7,8,4,10,7
"YPL101W",9,9.5,7,7,6,6,8,13.5,12,15,15,10
"YPL064C",4,9,6,2,2,4,4,4,7,5,10,8
"YPL256C",41,37,38,11,4,6,37,49,49,32,46,40
"YPL099C",2,2,7.25,2,2,2,5,4,4,4,3,3
"YPR023C",14,12.17,10,14,5,9,14,17,12,20,16,24
"YPL093W",90,98,85,12,12,11,113,130,72,105,118,126
"YPL134C",4,4,7,0,1,2,6,3,3,4,7,7
"YPL153C",0,7,6.25,13,8,11,10,9,8.25,7.25,11,11
"YPL222W",10,9,4.5,11.17,8,7,5,4,8.67,2,7.5,6
"YPR075C",13,5.5,9,12,15,15.5,8.5,13.5,12.5,11,10.5,17.5
"YPL118W",20,27,28,22,15,21,16,20,20,17,24,25
"YPL239W",13,20,22,11,8,3,16,23,17,19,17,22
"YPR136C",5,5,3.5,1,0.5,0.5,2,8,2,4.5,4,9
"YPL033C",0,2,0,0,0,0,0,0,0,0,0,0
"YPR045C",13,9,15,5,3,3.5,7,17,6,9,10,13
"YPR038W",2,0.5,0.83,0.83,1.08,0,1,0.5,1.83,1.5,1.5,3.5
"YPR011C",4,6,9,1,1,2,7,5,5,5,3,4
"YPL100W",4,2,3,4,4,4,2,8,5,3,8,5
"YPL076W",2,7,5,2,3,1,2,4,3,2,3,7
"YPL027W",0,0,2,0,0,0,0,0,1,0,1,0
"YPL271W",9,6,7,4,4,1,5,6,6,4,9,6
"YPL128C",10,15,7,0,1,5,11,17,19,16,20,22
"YPL139C",9,6,5,5,3,3,13,9,9,9,3,11
"YPL005W",6,0,2,0,3,1,2,3,0,0,1,3
"YPL148C",2,4,0,1,1,0,3,1,2,0,5,4
"YPL080C",5,8,13,0,1,1,2,3,0,4,5,7
"YPL265W",20,18,24,6,7,7,26,33,23,25,20,20.5
"snR59",1,0,2,0,0,0,0,0,1,0,0,0
"YPR052C",2.5,2,4,2.5,0,0.5,6.5,9.5,2.5,11,8.5,7
"YPR145C-A",0,0,1,0.33,2,1,0,0,0,1,0.17,0.5
"YPL096W",3,5,4,6,1,2,5,1,3,7,3,8
"YPR078C",5.25,2.75,3,8,4,5,4.25,6,2.5,1.5,4,2.5
"YPL104W",15,14,16,6,4,4,13,9,10,13,14,16
"YPR074W-A",0,0,0,0,0,0,0,0,0,0,0,0
"YPL283W-B",0.06,0.38,0.25,0.06,0.06,0.25,0.38,0.38,0.19,0.44,0.38,0.42
"YPR162C",5,4,6,10,2.17,2,4,11,7,3,6,6
"YPL030W",10,12,14,3,0,5,18,19,14,12,25,19
"YPL069C",4,6,1,1,2,0,6,3,5,4,8,5
"YPL188W",17,14,9,10,6,9,16,8,8,12,5,15
"YPL201C",0,0,1,16,22,11,0.25,1,0,1,0,0
"YPL207W",50,45.75,43,16,13,12,32,38,31,37,53,48
"YPR021C",11,13,19,10,11,10,13,13,5,6,13,15
"YPL253C",1,3,5,2.17,3,3,5,4,7.17,5,9,10
"YPR040W",8,8,7,8.5,6,6,8,3,7,3,6.5,10.5
"YPL143W",63,57.42,62,2.5,1,2.5,64,71,48.5,71.25,78,72.5
"YPL132W",8,7,7,3,0,5,2,6,7,8,3,12
"YPL171C",1,0,0,57,43,51,2,2,0,0,1,1
"YPL126W",89,81,77,16,9,8,71,89,75,89,119,89.5
"YPR063C",20,18,16,1,1,2,13,14,12,15,14,23
"YPR187W",17,29,20,2,0,2,22,26,16,31,36.5,24
"YPL007C",6,11,10,1,0,2,6,9,6,3,5,6
"YPL209C",2,3,4,1,3,0,1,2,2,3,1,0
"YPR182W",0,1,1,1,0,1,3,1,2,2.25,2,2
"YPL242C",23.11,29,19,22,22,11,35,42,36,53,40,50
"YPL205C",5,1,0,2,1,0,3,1,3,2,3.5,5
"YPL278C",1,1,1.5,2,1.5,1.5,0.5,1,1.5,1,0.5,0
"YPR086W",19,21,34,21.5,14.5,17,19,20,15,20.75,22.67,34
"YPR117W",54,61.5,54,20,16,21,42,41,32.25,35,34,26
"YPL096C-A",3,2,1,0,0,0,3,1,2,1,1,0
"YPR092W",1,0.5,2.5,1,1,1,2,0.5,3,3,2,2.5
"YPL086C",28,25.25,28,7,2,2,23,27,11,13,29,29
"YPR005C",3,5,14.25,9,12,5,5,6,3,4,2.75,2
"YPR046W",1,2,2,1,0,0,1,3,1,1,1,1
"tK(CUU)P",0,0,0,0,0,0,0,0,0,0,0,0
"YPL269W",4,4,1,5,2,4,3,2,3,7,4,5
"YPL135C-A",2.5,2.5,2.5,9.5,4.5,4.5,4,3,4,4,2,4
"YPR105C",20,13,12,11,8,5,11,23,19.11,27,34,30
"YPL158C",11.5,11.5,9,23,14.5,20,15,24,16,15.5,25,24
"tE(UUC)P",5.13,5.27,2.64,1.5,2.57,0.64,1.7,3.7,2.65,2.23,1.25,3.29
"YPL094C",25,19,20,4.5,7,3,18,29,22,22,24,24
"YPR176C",7,11,4,1,0,5,8,4,11,6,6,9
"YPL191C",4,1,3,2,2,1,5,2,2,0,2,2
"YPR204C-A",0.06,0.38,0.25,0.06,0.23,0.25,0.38,0.38,0.44,0.44,0.38,0.38
"YPR163C",67,55,71,9,14,16,80,96,74,73,97,65
"YPL229W",2,6,2,1,2,1,2,3,3,2,7,6
"YPR160W",55,71.5,85.5,626,474.5,456,45.5,37.5,45.5,48.5,54.5,53
"YPL049C",21,25,15,7,3.17,10,31,32,12,22,26,25
"YPL066W",21,10.25,18,21,15,9,19,21,13,20,24,21
"YPL183W-A",3,8,6,1,2,2,2,2,2,6,5,3
"YPL235W",21,28,41,9,7,5,26,35,25,27,33,42
"YPL141C",23,15,17,28,35,32,19,31,23.75,19,28,24
"tF(GAA)P1",0.98,0.98,0.81,0.33,0,0.33,0.17,0.79,0,1.17,2.14,1.08
"YPR144C",25.32,27.08,28.29,6.22,3.06,2.5,23.17,24.56,17.11,19.07,40.51,34.69
"YPL249C-A",52.08,53.75,61.75,8.5,5.25,5.75,66.5,65.25,55.25,62.75,70.5,54.75
"YPR128C",6,5,10,4,4,2,2,11,5,5,4,8
"YPR054W",3,5,4,1,0,0,6,5,1,4,5,5
"YPL156C",4,2,4,3,1,2,1,8,6,5.11,6,7
"YPL173W",3,9,10,3,1,3,6,13,9,9,18,12
"YPR098C",5,4,2,6,2,5,4,5,3,6,2,6
"YPL260W",27,25.5,27,19,17.5,14.5,21,26,16,18,31,20
"YPL251W",0.5,0,1,0.5,0,1,2,0.5,1,1,1,2.5
"YPL016W",18,10,8,22,10,20,27,15,18,21,28,20
"YPR095C",11.52,23.33,16,12.38,13,5,23,29,22,18,10.17,21
"YPR079W",5,4,8,2,3,2,5,3,6,6,7,5
"YPR010C",151,155.5,165.25,40,26,20,149,190,146,151,220,202
"YPL046C",0,1,2,1,2,2,2,0,2,7,2,3
"YPL021W",0,0,0,2,2,1,0,0,0,0,0,0
"YPL268W",27,18,16,9,7,10,11,17.5,22,20,19,25
"YPL283C",3.11,4.89,3.72,2.32,0.9,2.8,3.85,6.38,4.35,6.27,5.64,6.74
"YPL206C",8,8,10,12,8,10,5,9,6,8,14,12
"YPR055W",22,16,22,20,6,13,13,14.12,15,25,15,17
"YPR138C",31,29,33,28,11,12.1,33.5,28,25,32,39,29
"YPL243W",26,40.5,33,9,2,3,34,37,28,27,46,38.75
"YPR127W",8,9,8,53,34,41,7,6,4,6,10,6
"YPL095C",5,5,8,2,3,2,5,7,6,12,5,6
"YPR027C",1,1,4,1,1,2,2,1,1,2,0,1
"YPL232W",26,23,17,12,7,10,27,27,29,26,25,30
"YPL124W",3,1,5,2,0,2,1,1,2,7.33,4,2
"YPR041W",41,41.75,46,8,8,4,50,57,55,59,82,74
"YPL083C",8,13,6,1,2,1,6,3,9,4,10,5
"YPL048W",63,51,66,14,12,18,62,68,56,57,93,81
"YPL120W",5,4,6,3,0,0,4,6,5,7,7,6
"YPL117C",56.17,33.67,35.75,27,21,27,41,40,32.71,46.08,55.12,53.31
"YPR126C",3,3.5,5.5,0,0,1.5,5,5,4,4.5,4.5,7
"YPR091C",16,28.5,21.5,6,3.75,7,17,32.5,18,15,30,20.5
"YPR059C",0.5,0.5,5,0,0.5,0.5,3.5,2,2,2,3,1
"YPL214C",5,8,6,7,2,5,7,9,3,10,12,6
"YPL203W",14,9,12,20,16,6,17,12,10,18,18,13
"YPL273W",36.5,40.5,40.5,4,6.5,3,33,41.5,33.5,32.5,39,46.5
"YPR081C",6,12,8,3,6,5,10,11,6,8,11,10
"YPL011C",11,13,11,4.5,7,3,11,10,9,15,14.25,9
"YPR097W",25,37,36,7,10,6.25,21,33,24,25,39,38
"YPL274W",16,17,17,11,10,13,16,11,18,8,7,14
"YPR158W",5,7,1,9,13,4,4,1,2,2,3,6
"YPL050C",35,26,24,4,1,7,40,43,37,32,39.5,38
"YPR114W",19,13,20,7,6,5,19,26,21,24,35,18
"YPL110C",50.73,51.47,69.2,75,29.21,51.15,34.07,37.41,36.49,40.28,33.42,34.53
"YPL161C",12,6.25,9,1,3,1,6,8,6,8,6,8
"YPR022C",19,27,26.43,19.5,15,6.25,37,34,20,27,20,34.33
"tT(UGU)P",0,0.17,0,0.17,0.17,0.33,0.17,0,0.17,0.33,1.17,0.92
"YPR175W",4,10,7,3,5.17,2,13,12,15,12,14,10
"YPL068C",5,14.07,9,4,2,4,6.07,12,6,5,9,8
"YPL055C",2,4,8.25,7,2,3,5,7,12,7,8,9
"YPL079W",92,99.5,103.5,2.5,5,6.5,114.5,144.57,116,114,125,117.5
"YPL150W",18,9,19,17,11,12,22,23,11,21,15,12
"YPR192W",0,2,1,0,2,0,1,0,1,1,0,3
"YPL226W",168,143,144,33,30,30,155,188,132,192,226,224
"YPL115C",31,20,23,14,12,13,42,37,37,27,46,52
"YPL283W-A",0.05,0,0,0,0,0,0,0,0,0.11,0,0
"YPL170W",7,5,6,15,5,9,9,11,10,4,7,8
"YPL245W",8,9,6,4,7,5,13,7,6,12,21,9
"YPR140W",13,13,16,10,12,7,8,12,12,10,18,16
"YPR048W",17,12,6,0,0,0,9,10,9,12,10,15
"YPR102C",144.5,148,136.5,16,8,6,148,172.5,152,161.5,187.5,198.5
"YPL036W",16.5,14,15,34.5,32,30.5,21.5,25,18,20,30,29.5
"YPR015C",3,3,3,3,4,2,1,1,0,3,3,1
"YPR133W-A",8,4,11,0,0,1,4,13,7,6,12,9
"YPL146C",29,24,27,9,3,3,35,31,27,33,42,41
"YPR107C",4,4,4,3,2,2,4,5,8,6,0,5
"YPL035C",0.5,2,1.5,3,0.5,0,0,1,0,0.5,0.5,2
"YPL082C",46.08,49.08,72,29,28,17,72.33,78,82,72.5,91,80.83
"YPR064W",1,2,0,2,2,2,0,0,2,0,0,0
"YPL216W",7,11,5,10,1,5,8,8,10,6,15,11
"YPL152W",5,2,5,4,3,2,5,4,4,3,3,6
"YPL230W",4,6,4,1,5,3,1,6,4,1,4,4
"YPL159C",4,3,8,7,2,2,10,10,5,10,12,11
"YPR183W",23,25,32,8,6,6,24,35,14,25,31,27.17
"YPL204W",37,28.5,32,23,17,15,39,50,41,40,59.5,59
"YPL109C",4,7,3,4,8,5,6,3,4,4,3,2
"YPL249C",19,26,23,16,15,5,20,25,22,18,21,14
"YPR154W",10,15,10,22,18,18.11,15,17,11,11,16,8
"YPR026W",16,12,23.5,53,36,56,15,13,8,7,15,9
"YPR076W",2,0.5,0,2,1,2.5,0.5,1.5,0.5,2,0.5,5.5
"YPR170W-B",7.29,8.67,5,0.67,0,0.5,6.67,6.83,4.17,4.67,5.17,6
"YPR016C",38.5,29.25,21,9,6,9,44,30,23,34,58,49.5
"YPL060W",10,4,5,4,3,5,3,9,7,3,2,6
"YPR029C",27,17,27,7,6,6,19,31,24,16,34,29
"YPR002C-A",1.7,1.98,2.14,2.38,2.52,2.43,1.43,1.52,1.39,3.23,3.02,3.71
"YPL106C",497.28,470.08,499.75,111,107,121,347.17,391.67,355.17,386.75,499,479.25
"YPR085C",8,5,7.05,6,3,6,10,9,7,8,10,9
"YPL008W",9.17,10,11,10,7,8,18,22,14,17,23,12
"YPR152C",5,5,7,1,3,2,7,4,2,3,1,3
"YPL212C",22,22,31,3,4,7,18,24,20,28,31,25
"YPL119C",2,6,6,8,5,10,2,3,4,2,8,1
"YPL078C",24,28,27,23,16,15,25,32,18,24,22,22
"YPL195W",33.17,28,30,20,8,5.5,24,24,28.46,36.08,31.12,17.06
"YPL025C",0.5,0,0,1,0,0.25,0.5,1,0,0,0,0.25
"YPR060C",11,12.17,17.5,3,2,1,13,13,13,15,12,14.5
"YPL199C",10,10,10,2,0,2,11,6,6,10,11,11
"YPL228W",11,8,8,1.75,1,2,12,16,8,14,12,11
"YPL018W",7,5,11.5,3,1.5,2,4,6,9,13,4,8
"YPL259C",6,12,10,5,5,7,5,10,13,10,16,8
"YPR150W",1,2.5,0.5,7.5,3,3,1,0.5,1,0,0,1
"YPL072W",4.5,5,5.5,2.5,3,4,7,5,7.5,2.5,7,5.5
"YPL130W",2,0,0,0,2,1,0,1,0,0,0,0
"YPR179C",8,18,8,4,1.17,1,11,11,12,9,12,12
"YPR096C",0,0,0,0,0,0,0,0,0,0,0,1
"YPL028W",65,69.5,54,31,23.06,30,49.67,61.5,50,42,58,36
"YPL174C",8,14,6,5,1,6,10,18,16,16,13,12
"YPR031W",10,5,11,2,1,3,5,10,9,12,9.5,9
"YPL257W-A",2.11,1.62,2.2,1.75,0.6,0.98,1.5,1.67,0.6,2.11,1.3,2.47
"YPR158W-A",3.06,3.54,2.5,7.25,6.17,6.31,2.17,2.05,0.79,2.04,3.17,4.17
"YPL257W-B",76.64,82.45,85.47,73.18,49.87,50.58,58.89,67.66,46.33,64.68,76.73,75.52
"YPR158C-D",202.88,200.91,211.69,209.67,140.62,135.33,137.4,168.51,123.11,170.03,218.85,194.12
"YPR137C-A",19.32,17.57,18.3,19.23,12.79,11.14,12.7,16.77,12.85,18.15,19.34,19.37
"YPR137C-B",70.82,60.92,63.55,64.14,41.38,41.21,43.09,54.75,39.52,55.93,60.14,62.66
"YPR158W-B",44.04,42.69,46.56,59.98,43.15,43.53,28.6,37.3,27.59,45.13,54.63,56.29
"YPL060C-A",6,10.5,5.5,8.67,3,6.17,7.33,7.5,7,4.5,8.33,9.83
"YPR158C-C",15.05,18.25,19.13,16.04,13.5,10.06,12.29,11.82,11.86,13.5,22.31,12.62
"YMR172W",8.5,10,18.5,4,4.5,3,8.5,8,6,7,10,5.5
"YMR027W",28,19,22,11,18,14,18,21.5,18,10,26,17
"YML089C",0,0,0,0,0,0,0,0,0,0,0,0
"YMR290C",40.5,43.5,46.42,3,4,1.5,42,62.5,41,52,57,71
"YMR139W",6,5,5,7,7,7,7,9,8,13,8,9
"YMR191W",21,11,21,52,53,57,12,19,6,6,11,18
"YMR244C-A",1,3,1,0.5,0,0.5,2,1.5,1.5,3,3,4.5
"YMR091C",16,17,10.08,2,1,1,26,16,17,18,19,21
"YMR173W-A",18,17,18.5,63,45,53,24.5,24,18,15.5,17.67,15.5
"YMR180C",3,10,3,8,5,6,3,8,5,3,7,7
"YML020W",8.5,14,9,11,7,6,11,10,10,15,13,11
"YML088W",23,14,16,16,12,15,23,17,14,15,21,20
"YML077W",5,9,7,4,1,1,8,5,4,5,7,3
"YML125C",28,30,27.25,11,5,9.25,24,34,19,26,42.5,30
"YMR318C",52,53,50,14,10,10,50,54,27,45,51,59
"YMR115W",18,13,10,12,11,4,8,14,6,7,15,12
"YMR266W",32,28,43,12,9,11,44,60,44,60,74,66
"YML057W",17.5,25,23.75,23,21,14.5,18.5,27.5,25,22.5,19,17
"YML055W",10,7,7,2,1,0,11,2,5,10,10,10
"YMR105C",20,21,18,158,92,109,19,20,14,20,23,17
"YMR268C",6,4,5,2,3,0,2,6,7,12,14,9
"YML133W-B",0.31,0.23,0.26,0.06,0.15,0.35,0.26,0.43,0.34,0.31,0.4,0.25
"YML090W",0,3.5,0,1.5,1,0,0,1,0.5,0.5,0,0
"YML101C",1.33,2,1,1,0,1,1,0.5,4,5,4.5,2.5
"YMR012W",122,149,165.5,21,15,14,133,167,128,151,196,176
"tY(GUA)M2",0.57,1.85,0.82,2.49,0.82,1.15,0.38,0.65,1.07,1.85,2.35,1.42
"YMR202W",80,59,85,25,15,15,55,61,58,44,72,61
"YMR083W",48,75,63,29,25,19,54,53,41.5,52,61,58
"snR76",13,29,28,18,10,14,19.5,19,16,14.75,25.25,13
"YMR017W",0,0.62,0,4,4,2,0.12,1,0.12,0,0,1.12
"YML085C",25,21,27,8,7.1,5,43,52,41,41,60,55
"YML013W",11.5,9.5,4.5,1,4,0.5,13.5,14,11.5,9,17.5,12.5
"YMR224C",16,11,10,5,2,6,6,12,9,7,5,8
"YMR059W",2,3,1,0,2,0,6,3,2,1,1,3
"YMR072W",9,11,9,3,3,3,16,19,9,15,16,20
"YMR304W",28,25,32,19,16,16,27,30,21,41,20,41
"YML087C",1,1,0,5,1,5,2,5,1.07,1,4,3
"YMR195W",1,3,2.08,0,1,0,4,1,4,5,4,2.5
"YMR240C",7,3,1,8,5,2,4,3,5,9,5,1
"YMR308C",102.5,91,90,25,19,18,88,113,89,108,143,115
"YML001W",14,11,12,5,3,1,13,21,7,11,15,8
"YML114C",11,11,13,8,7,6,17,17,14,14,28,28
"YMR319C",36,23,28,45,40,33,31,41,30,41.25,48,46
"YML075C",92,104,107,30,25,24,96,112,100,77,87,85
"YMR075W",22.75,8.5,6.25,13.34,12.5,7,12,14.08,10.5,8.5,17.5,11.27
"YML129C",3,3,1,2,3,0,5,3,1,4,1,4
"YML073C",118.5,137.5,133.5,16,11,9,162.5,175.5,123.5,153,182,173
"YMR149W",23,16,13,4,5,4,17,23,18,28,20,28
"YMR233W",5,4,5,2,0,1,3,4,4,1,8,2
"YMR048W",2,2,1,1,1,1,4,6,2,5,2,3
"YML030W",6,5.1,7,1,2,1,8,8,1,6,4,6
"YMR118C",0.49,0.7,0.32,10.28,17.5,10,1.22,2.05,1.27,4.07,1.4,2.77
"YMR260C",56,59,61,17,9,8.5,64,53.5,37,48,54,64
"YMR135W-A",0,0,0,0.5,0.5,1,0,0,1,1,0,0
"tM(CAU)M",1.2,1.2,2,2,0.6,0.6,0.8,0.8,0.2,2.2,2,1.6
"YML056C",100.67,119.67,130.33,40,40.5,34.33,100.17,124.5,85.67,94,120.67,111
"YML064C",4,6,9,5,3,3,3,11,5,2,5,4
"YML132W",6.62,4.04,7.68,8.52,6.55,6.34,3.54,5.33,4.44,2.85,3.04,5.22
"YML113W",6,10.07,6,1,1,4,6,15.17,7,10,19.5,10
"YML058W-A",1,3,0,5,1,1,0,1,1,0,1,1
"YMR136W",9,8,11.25,30.25,26,25,7,6,8,6,13,8
"YML091C",22,19.5,26.5,37.55,34,24,15,22.17,13.5,13.5,10,12
"YMR199W",6,8,11,4,6,4,14,19,6,11,11,7
"YMR286W",4,9,8,2,0,0,6,6,2,8,5,8
"YMR025W",4,3,1,2,2,2,2,1,1,3,3,4
"YMR112C",5,4,4,3,2,0,4,5,4,3,4,3
"YML127W",6,11,6,6,5,8,16,17,17,8.1,21,23
"YML005W",8,5,6,6,4,0,6,8,7,12,9,12
"YMR160W",9,7,9,9.07,2,4.25,6.25,3,5,9.25,9,6
"YMR046W-A",0.33,0.17,1.33,0.27,0.33,0.33,0.5,0.5,0,0.33,0.33,0.33
"YMR096W",7,2,5,63.5,39,52,2.44,5.71,5.44,3,3,3
