"","cdc28_13_37_2h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep3_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep3_Aligned.sortedByCoord.out.bam","WT_37_2h_rep1_Aligned.sortedByCoord.out.bam","WT_37_2h_rep2_Aligned.sortedByCoord.out.bam","WT_37_2h_rep3_Aligned.sortedByCoord.out.bam","WT_37_8h_rep1_Aligned.sortedByCoord.out.bam","WT_37_8h_rep2_Aligned.sortedByCoord.out.bam","WT_37_8h_rep3_Aligned.sortedByCoord.out.bam"
"YER120W",28.5,32.5,35,6,5,5,29.5,41.5,31.5,47.5,57,38.5
"YER033C",20,25,33,47,31.5,25,11,19,8,12,22,17
"YER054C",8,7.5,9,21.42,12.75,16,5.5,4,2,4,5,10
"tV(AAC)E2",0,0,0,0.11,0,0,0,0,0,0,0,0
"YER164W",42,39.25,50.25,26,11.5,13,59.28,55.3,52,53.25,67.7,64
"YER139C",0,1,3,1,1,0,3,2,4,1,1,2
"snR52",3,4,1,6,1,4,10,5,6,5,9,11
"YEL042W",24,41,35.33,13,6,6,47,51,52,49,66,60
"YER190C-A",0.44,0,0,0,0,0,0,0,0.06,0,0,0
"tS(UGA)E",3.83,3.25,3.92,5,2.08,1.25,2,2.96,1.83,3.33,6.67,6.03
"YER008C",40,42,44.5,43,17,29,41,37,45,36,54,30
"YER114C",25,29,23,22.17,22,17,37.25,32,27,36.75,45,35.75
"YER034W",1,6,3.1,1,0,0,1,1,0,2.07,3,4
"YEL008W",2,0.5,0,0,1,0,1,0,1,1,0,1
"YER014W",10.5,8.5,13.6,8,2.5,6.5,16.11,13.5,10,7,16,10
"YER143W",8,8,9,9.05,4,11,9,11,8,6,11,9
"YER053C-A",4,1,0,23,16,14,1,0,0,0,0,1
"YER028C",1,2,4,1,0,2,0,5,3,3.07,2,8
"YER048C",33,31,22,11,11,9,23,22,15,24,21,31
"YER044C",25,31,34,2,5,2,16,28,22,20,20.5,23
"YEL039C",3,10,4,91,74.5,98,5,4,4,3,4,4
"YER053C",22,22,12,31,21,16,12,8,11,14,9,10
"tQ(UUG)E1",1.11,1.43,0.41,1.25,0.96,0.95,0.98,0.57,0.25,0.12,0.27,0
"YEL034C-A",153.42,167.83,159.17,16,8,10,181.33,211.5,167.08,194.67,233.67,214.25
"YER155C",159,119.5,142,65,50.5,63,129,162.07,141,140.75,177,183
"snR4",260.75,245,297.5,344,266,244.75,250,275,255.75,285,347,333.75
"YER050C",8,6,14,3,2,1,7,11,4,5,6,6
"YER031C",12,18,25,5,0,2,13,19,16,18,19,27
"YER037W",35,40.5,61,24.5,23.5,22.67,23.5,25,22,18,14.5,25
"YEL049W",0.11,0,0.38,0.2,1.12,0.14,1,1.14,0,0.42,0,1.1
"tQ(UUG)E2",0,0.33,0,2,1,1,0,0,0.44,1,0,0
"YEL006W",9.25,8,14.1,8,1,4,14,12.5,6,7,8,7
"YER100W",14,12,13,6,7,4,15,16,7,13,17,16
"YER181C",0,0,0,0,0,0,0,1,0,0,0,0
"YER015W",7,5,8,40.5,30.5,20,1,5,7,5,7,5
"YER129W",25,20,20,13,13,12,28.67,32.5,30,37,50,21
"YER172C-A",0,0.5,0.5,0,0,0,1.5,1.5,0.5,1.5,1,0
"tR(UCU)E",0,0,0,0,0,0,0,0,0,0,0.5,0
"YEL072W",4,0,3,1,5,2,4,1,0,2,3,2
"YEL075C",0,0.12,0.25,0,0,0,0.38,0,0,0.12,0.25,0.25
"YER048W-A",10,6,5,3,2,9,9,8,5,4,6,5
"YER051W",8,5.25,5.1,5,2,0,2,4,11,3.25,2,7
"YER171W",23,19,18,3,4,2.17,13.17,19,16,27.75,20,23
"YER078C",17,8,14,6,6,1,13,12,8,11,16,11
"YER169W",25,33,22,13,8,8,25,41,29.5,35,43,31
"YEL003W",10,3,12,2,1,1,4,7,6,3,6,4
"YEL077W-A",0.25,0,0.49,0.47,0.1,0,0.43,0.39,0.12,0.2,0.5,0.64
