string_suffix,1h_rep1,1h_rep2,1h_rep3,3h_rep1,3h_rep 2,3h_rep3,5h_rep1,5h_rep 2,5h_rep3,7h_rep1,7h_rep2
YPL154C,961.842,932.727,978.218,2287.89,2430.8,2474.63,4408.92,4675.8,4785.87,5661.54,5677.78
YGL043W,969.572,875.938,1027.51,3556.75,3938.49,3878.47,5921.23,6058.92,6733.51,6550.92,6722.83
YMR047C,997.307,886.445,991.269,2449.8,2688.18,2604.97,3630.57,3641.78,4048.04,3737.28,3907.02
YAR007C,991.703,939.792,948.423,2586.34,2635.2,2617.61,3433.4,3656.06,3672.56,3436.77,3368.8
YHR027C,983.672,887.448,1008.9,4638.38,5012.42,4766.2,7091.2,7272.49,7635.14,7241.16,7584.74
YIL094C,982.021,880.961,1019.12,2921.75,3228.51,3067.29,5329.26,5320.48,5893.8,5576.27,6032.78
YBR039W,986.978,948.853,949.706,2960.38,2943.31,3037.42,4087.04,4439.23,4371.16,3684.01,3490.36
YDR432W,1046.7,849.027,993.163,1590.6,1916.78,1599.32,2213.07,2134.09,2639.71,2348.79,2769.9
YLR180W,992.642,953.008,945.474,1807.22,1868.8,1870.61,2276.55,2650.92,2607.37,2475.34,2451.08
YOR303W,938.137,972.783,980.746,2623.94,2532.63,2759.25,3448.2,3889.78,3728.64,4161.04,3867.93
YDR238C,985.484,928.765,987.031,6020.19,6392.4,6311.18,8866.79,9261.65,9717.88,9498.36,9735.26
YHR072W-A,1016.74,877.183,1009.58,1643.26,1971.85,1690.58,2199.89,2072.23,2492.82,2009.08,2377.19
YOR069W,983.68,923.611,998.026,3215.07,3439.75,3313.99,4557.91,4858.09,5064.95,4857.87,4960.08
YML110C,1014.69,914.383,980.11,3270.57,3402.25,3444.29,4998.11,5321.2,5521.76,5327.6,5328.76
YLR175W,1022.63,875.983,1023.36,2844.06,3179.6,2974.43,3807.09,3763.01,4257.33,4367.07,4683.75
YDL226C,1043.82,861.007,1020.17,1973.7,2376.35,2051.41,2577.66,2407.27,2949.69,2128.19,2421.97
YHR042W,1008.01,911.359,1006.58,3135.5,3309.62,3328.04,4874.63,5068.44,5438.71,5446.15,5415.6
YIR006C,1038.11,863.104,1024.97,2721.44,3092.17,2745.14,3939.51,3838.88,4517.89,3618.32,3949.37
YGR085C,971.55,926.922,1029.39,3274.3,3345.65,3509.13,4578.07,5002.13,4934.2,5345.29,5203.93
YLR178C,1007.51,959.853,961.986,1449.78,1422.65,1453.94,2764,3192.64,3063.68,3893.18,3703.76
YOL021C,1023.08,873.543,1043.83,3854.65,4296.6,3986.9,5321.55,5293.32,6040.44,5306.08,5732.93
YML072C,1017.49,903.952,1029.34,4824.72,5267.69,5083.78,7732.51,7782.91,8469.53,8038.99,8003.33
YDR064W,1024.13,943.854,988.095,1958.41,2060.93,2041.15,3239.53,3440.15,3550.27,5707.99,5836.51
YAR002W,1020.91,956.108,980.243,2479.99,2660.28,2594.4,2993.56,3236.21,3314.38,2952.97,3007.42
YOR096W,910.695,992.315,1066.47,3051.67,2796.86,3262.34,3987.91,4784.94,4364.89,4982.7,4369.17
YNL037C,1019.96,885.983,1066.97,3488.02,3754.27,3735.6,6896.73,7198.22,7595.78,8082.6,7704.68
YOL058W,1003.72,911.333,1066.2,2466.98,2720.95,2682.17,10306.5,10737.8,11736,13911.3,13889.6
YDR172W,1014.11,935.918,1035.1,3980.95,4180.11,4245.88,5750.18,6118.82,6413.03,6576.73,6689.96
YER049W,1033.14,928.033,1028.62,3273.04,3483.54,3393.54,4536.34,4809.96,5015.26,5022.92,5167.78
YHR107C,1048.01,904.898,1038.73,3504.62,3714.72,3733.86,5004.44,5148.02,5471.11,5590.64,5593.82
YKL104C,1013.95,959.492,1024.71,4565.07,4775.8,4756.62,8849.91,9333.6,9450.67,13830.9,13494.1
YDR234W,1014.48,1022.88,965.371,2712.78,2663.62,2938.24,3981.13,4655.88,4399.36,4330.18,4000.69
YOR317W,1037.92,876.427,1097.03,4341.6,4893.6,4679.13,9451.96,9478.56,10639.2,12946.5,13811.2
YAL012W,1014.42,924.605,1073.29,3219.33,3384.17,3480.18,5104.61,5550.52,5719.74,5690.6,5688.46
YLR293C,1053.03,903.21,1058.1,3027.91,3596.32,3301.26,5459.92,5305.5,6017.49,5890.57,6471.7
YML085C,999.024,1015.19,1004,2566.17,2496.84,2585.13,3152.7,3410.75,3380.86,3662.17,3557.13
