string_external_id	abundance
4932.YIR012W	95.2
4932.YHR074W	94.9
4932.YLR410W	94.9
4932.YMR308C	94.8
4932.YNL149C	94.3
4932.YGR119C	94.3
4932.YJR029W	94.1
4932.YML079W	94.0
4932.YER148W	94.0
4932.YOR260W	93.9
4932.YHR098C	93.9
4932.YOR243C	93.8
4932.YPR148C	93.8
4932.YGL191W	93.6
4932.YHR053C	93.5
4932.YIL116W	93.4
4932.YCR060W	93.3
4932.YDR098C	93.2
4932.YLR068W	93.2
4932.YGL070C	93.1
4932.YJR086W	93.1
4932.YDR517W	92.7
4932.YAR002W	92.5
4932.YMR027W	92.5
4932.YCR034W	92.4
4932.YNL154C	92.2
4932.YPR133C	92.2
4932.YML057W	91.8
4932.YKR071C	91.7
4932.YBL028C	91.6
4932.YDR171W	91.6
4932.YGR193C	91.4
4932.YKL065C	91.2
4932.YFL048C	91.2
4932.YMR090W	91.1
4932.YAR071W	91.0
4932.YKL204W	91.0
4932.YKL114C	90.8
4932.YOL049W	90.7
4932.YJL020C	90.7
4932.YER019C-A	90.7
4932.YBR151W	90.6
4932.YNR051C	90.5
4932.YGL220W	90.4
4932.YAL023C	90.3
4932.YJL069C	90.3
4932.YFR033C	90.2
4932.YPR073C	90.1
4932.YKL001C	89.8
4932.YOR215C	89.6
4932.YLR330W	89.4
4932.YLR074C	89.4
4932.YGR267C	89.1
4932.YNL052W	89.1
4932.YDL132W	89.1
4932.YDR516C	89.1
4932.YMR071C	89.1
4932.YHR106W	89.0
4932.YDR365W-A	89.0
4932.YBR198C	88.9
4932.YJL104W	88.8
4932.YBR029C	88.7
4932.YDR060W	88.7
4932.YKR065C	88.7
4932.YIL016W	88.5
4932.YBR015C	88.3
4932.YPL043W	88.1
4932.YOL022C	87.9
4932.YER125W	87.8
4932.YFR049W	87.8
4932.YGR280C	87.8
4932.YMR215W	87.8
4932.YLR033W	87.7
4932.YLR017W	87.6
4932.YDR377W	87.6
4932.YCL011C	87.4
4932.YOL027C	87.4
4932.YNL232W	87.3
4932.YOR120W	87.1
4932.YKL193C	86.9
4932.YMR039C	86.5
4932.YKL094W	86.4
4932.YIR036C	86.4
4932.YMR169C	86.3
4932.YBR111W-A	86.3
4932.YDR342C	86.3
4932.YFL036W	86.0
4932.YOR294W	86.0
4932.YPR103W	85.9
4932.YFR030W	85.4
4932.YOR251C	85.4
